department,course,description,unit,title
Applied Arts,ANIM 10207157,"In this course students will explore design strategies and techniques that will enhance emotional impact, clarity, and storytelling in their concepts. Regardless of subject matter (figurative, observational, architectural, mechanical) expressing a strong narrative is vital in creating professional concept art for film, games, web, and advertising. Students will complete a series of digital projects ranging in size and scope that will emphasize storytelling elements, mood, and compositional devices meant to enhance the production value of their concepts.",2,Advanced Concept Design
Business Technology,ADMINPRF 10106101,Learn computer keyboarding (alphabetic and numeric keypad) using proper technique; develop speed and accuracy.,1,Keyboarding Introduction
Applied Arts,ANIM 10207142,Students work on-site in a professional setting or work on a specific task in consultation with a professional mentor. Regular reviews with a professional are scheduled to assess the student's progress and work quality. Details of internship arrangements can be developed between the student and the participating company as long as specific minimum course requirements are fulfilled.,2,Animation Internship
Applied Arts,ANIM 10207156,"Students will explore advanced techniques and theories used in creating digital content for entertainment production. Target platforms, pipelines, and project scopes challenge digital artists with aesthetic choices and resource limitations that must be accounted when creating content for production. The projects in this course will simulate a real-world environment allowing students to better understand technical limitations, how to avoid building impractical assets as well as the benefits of efficiently crafting 3D content with an end product in mind.",2,Advanced Digital Production
Business Technology,ADMINPRF 10106106,"Apply effective writing strategies to compose employment-related correspondence including business letters, memos, informal reports, and formal reports. Lessons will include the development of using correct-order writing plans as well as the practice of appropriate tone, etiquette, and style. Students will apply writing, researching, and critical thinking skills in the context of real business writing scenarios. Reinforcement of grammar, punctuation, and proofreading will be integrated throughout the course.",3,Business Writing and Research
Business Technology,ADMINPRF 10106102,"Explore the Administrative Professional and Office Specialist programs! Discover the knowledge, attitudes, and skills necessary to succeed personally and professionally in this career field. Experience an office environment by connecting with a mentor at his or her job site. Additional topics include career success, campus resources, skills portfolio, core workplace skills, internship requirements, professional organizations, personality traits, values and work environment preferences, and self-assessment of present career skills. (Formerly called Professional Profile)",1,Introduction to Office Professions
Business Technology,ADMINPRF 10106107,"Emphasis is placed on learning to use Microsoft Word software to efficiently and effectively produce business documents. Students will apply Word skills to solve practical problems in a project-based format. Explore fundamentals and best practices in document creation, editing, formatting, collaboration, tables, mail merge, desktop publishing, themes, templates, forms, and macros. Recommended prerequisites: Windows competency, including solid file management skills; ability to key 30 WPM. Equipment requirements: Access to a PC Windows platform computer and Microsoft Office 2016 or Office 365, including Word, PowerPoint, Excel, Outlook, Access, and Publisher.",3,Business Document Applications
Business Technology,ADMINPRF 10106108,"Review the parts of speech and basic grammar. Develop proofreading skills including punctuation, grammar, spelling, and usage errors. Edit business documents for appropriate content and clarity.",3,Proofreading And Editing
Business Technology,ADMINPRF 10106126,"This is a capstone course for the Administrative Professional and Medical Administrative Specialist programs. This course is based upon prior knowledge students learned in previous courses and uses multiple software applications, including but not limited to Microsoft Word, Excel, PowerPoint, and Access. Apply industry-standard format to business correspondence including memorandums, business letters, and publications. Students manage information, apply critical- thinking skills to solve problems, research topics, and compose business documents, spreadsheets, databases, and presentations.",3,Software Capstone
Business Technology,ADMINPRF 10106133,"Apply industry-standard format to business correspondence including memorandums, business letters, and publications. Format tables, design multicolumn documents, generate fillable forms, use SmartArt, and apply graphics.",2,Document Formatting
Business Technology,ADMINPRF 10106134,"This is a capstone course for the Administrative Professional and Medical Administrative Specialist programs. This course is based upon prior knowledge students learned in previous courses and uses multiple software applications, including but not limited to Microsoft Word, Excel, PowerPoint, and Access. Students manage information, apply critical- thinking skills to solve problems, research topics, and compose business documents, spreadsheets, databases, and presentations.",2,Software Projects
Business Technology,ADMINPRF 10106176,"Students will prepare and plan for the operations of their virtual office. Topics include:  setting up the home office, considering physical space, technology; transitioning from employee to employer, setting hours and limits, writing client contracts, ending contracts; securing a team of professionals; managing a budget, tracking income/expenditures; billing clients; professional support and connections, social networking, professional virtual assistant organizations; thriving in autonomy, decision-making, organizing work; developing business relationships; developing the business marketing lifecycle/marketing plan.",3,Managing the Virtual Office
Business Technology,ADMINPRF 10106164,"Find ways to deliver outstanding customer service.  Improve verbal, nonverbal, and listening communication skills; develop problem-solving techniques to deal with a variety of customers; and find ways to add value to the customer interaction. Examine how technology impacts customer service, review how service breakdowns occur and how to recover, and develop campaigns for building customer loyalty.",1,Customer Contact Skills
Business Technology,ADMINPRF 10106139,"Refine keyboarding technique, increase speed, and improve accuracy through individualized practice. The student must be able to touch type, which is defined as using the correct key reaches and not looking at the keys while typing, at a minimum rate of 25 words per minute. Equipment requirement: Access to Internet.",1,Keyboard Skillbuilding
Business Technology,ADMINPRF 10106109,"Create professional data-driven workbooks utilizing Microsoft Office Excel spreadsheet software. Create charts and complex formulas; utilize advanced functions and apply conditional formatting; work with multiple worksheet, workbooks, and templates; develop an Excel application with data validation, worksheet protection, and macros; work with financial tools and functions; perform what-if analysis with Scenario Manager, Data Tables, and Solver. Recommended prerequisite:  Windows competency, including solid file management skills",3,Business Spreadsheet Applications
Business Technology,ADMINPRF 10106172,"This course emphasizes the skills necessary to succeed in a global business office in the 21st century. Topics include: teamwork and interpersonal skills, travel arrangements, meetings, minute taking, online survey creation, parliamentary procedure, management and leadership skills, cultural diversity, and time, stress and anger management.",3,Administrative Office Management
Business Technology,ADMINPRF 10106182,"Learn about the most-up-to-date technology in an ever-changing world. Students will gain an in-depth understanding of why computers are essential in business and society, and learn the fundamentals and terms associated with computers and mobile devices, the Internet, networks, programs and apps, cloud computing, digital safety, IT ethics and security while using available technologies including video conferencing.",3,Information Technology Concepts
Business Technology,ADMINPRF 10106186,"Plan and coordinate projects, develop timelines, determine priorities, allocate resources using graphic tools such as MS Project or MS Excel software, and increase individual and team productivity. Project management techniques and concepts are learned by participating in a team project and completing a personal project plan. Student should be in the last semester of the program OR enrolled in the Project Management for the Office Professional certificate.",2,Introduction to Project Management
Business Technology,ADMINPRF 10106190,"Build an electronic portfolio by creating a resume, cover letter, and thank you letters. Enhance skills in interviewing, requesting references, and networking.",1,Professional Development
Business Technology,ADMINPRF 10106192,Students complete a 72-hour internship in an office setting supervised by a cooperating employer. The office setting is a business or medical office depending on the student’s program. Students will correspond with the Instructor via video conferencing and written reports. Must be in the last semester before graduation.,1,Internship - Administrative Professional
Business Technology,ADMINPRF 10106231,"Explore key graphic design principles and best practices for designing and presenting. Create professional business presentations using Microsoft PowerPoint, Prezi, and/or other presentation software. Work with graphics, slide master, sound, video, charts, and tables. Add transitions, narration, and animation to enhance presentations. Explore desktop publishing using Adobe InDesign. Apply basic design principles by learning how to set type, add graphics, and place text. Develop eye-catching handouts, flyers, postcards, and posters. Prerequisite: Windows competency, including solid file management skills.",3,Business Presentations and Publications
Business Technology,ADMINPRF 10106194,"Identify factors associated with job success: personal branding, employee benefits, ethics in the workplace, performance appraisals, proper etiquette, harassment, conflict resolution, and adopting change. NOTE: Recommended to have taken Written Communication (10-801-195) or Business Writing & Research; Student should be in last semester of the program",1,Career Management
Business Technology,ADMINPRF 10106195,Students complete a 72-hour internship in an office setting supervised by a cooperating employer. The office setting is a business or medical office depending on the student’s program. Students will correspond with the Instructor via video conferencing and written reports. Must be in the last semester before graduation.,1,Internship - Administrative Professional & Medical Administrative Specialist
Business Technology,ADMINPRF 10106280,"Introduces students to information systems, and details how and why they are critical to the functioning of modern organizations. The course provides technological, organizational, and managerial foundations of information, and explains how successful systems are built. Students also learn to develop and use a database system for personal productivity.",3,Introduction to Information Sytems
World Languages,This course satisfies LAT Req,"Intro to Modern Arabic 2 builds on the basic understanding of the Arabic sound and writing system and conversational skills in Modern Standard Arabic established in Intro to Modern Arabic 1. Modern Standard Arabic is the language of newspapers and literature, as well as that of formal speeches and news broadcasts.  This course fulfills the needs of those wishing to pursue studies of the Qur’an and classical texts as well as those wishing to be fluent in contemporary Arabic in both its written and formal spoken forms.  Knowledge of this form of Arabic can serve as a basis for further studies of regional dialects. At the conclusion of the course, students will be able to speak and write about themselves with complete control of the Arabic writing system.  This course, combined with Intro to Modern Arabic 1 transfers to the University of Wisconsin-Madison as equivalent to the 5 credit African Lang. & Lit 321: First Semester Arabic.",3,Intro to Modern Arabic 2
Business Technology,ADMINPRF 10106121,"Learn new technological advances used in today's office. Topics include office equipment; business procedures; digital communication; digital security, privacy, and threats; computer components; storage; and procedures that prepare you to work alongside administrative leaders via real-world business scenarios.",3,Office Technology and Procedures
Business Technology,ADMINPRF 10106801,"Allows a qualified Honors student to pursue a special concentration of study under the guidance of a faculty member. Requires completion of an Honors Project Contract. Credits 1 – 3. May be taken more than once. Pre-requisite:  1) minimum of 12 credits at Madison College, a 3.5 or higher GPA, and a previous or concurrent course with Honors Instructor; or 2) High School GPA of 3.5 or higher, and permission of Honors Instructor.",3,Honors - Administrative Professional
Business Technology,ADMINPRF 10106802,"Allows a qualified Honors student to pursue a special concentration of study under the guidance of a faculty member. Requires completion of an Honors Project Contract. Credits 1 – 3. May be taken more than once. Pre-requisite:  1) minimum of 12 credits at Madison College, a 3.5 or higher GPA, and a previous or concurrent course with Honors Instructor; or 2) High School GPA of 3.5 or higher, and permission of Honors Instructor.",3,Honors - Medical Administrative Specialist
World Languages,This course satisfies LAT Req,"Intro to Modern Arabic 1 begins with a thorough study of the Arabic sound and writing system, with the simultaneous introduction of conversational skills in Modern Standard Arabic, the standard written and literary form of Arabic used in educational institutions throughout the Arabic-speaking world.  Modern Standard Arabic is the language of newspapers and literature, as well as that of formal speeches and news broadcasts.  This course fulfills the needs of those wishing to pursue studies of the Qur’an and classical texts as well as those wishing to be fluent in contemporary Arabic in both its written and formal spoken forms.  Knowledge of this form of Arabic can serve as a basis for further studies of regional dialects.  At the conclusion of the course, students will be able to speak and write using a basic vocabulary and thorough understanding of the Arabic writing system.  This course, combined with Intro to Modern Arabic 2 transfers to the University of Wisconsin-Madison as equivalent to the 5 credit African Lang. & Lit 321: First Semester Arabic.",3,Intro to Modern Arabic 1
Business Technology,ADMINPRF 10106240,"Concentrates on the fundamentals of managing the record life cycle; rules for paper and electronic filing systems; charge-out procedures; retention schedules; transfer methods; control measurements; imaging systems and information security. Incorporates database skills including how to plan, create, and manage data; modify a database structure; relate tables; find, filter, query and sort data; create forms and reports; import, export, and link database properties.",3,Business Information Management
Applied Engineering Tech,ARCHDR 31403315,,2,Intro To Computer Graphics
Applied Engineering Tech,ARCHDR 31403316,,3,Building Construction 1
Applied Engineering Tech,ARCHDR 31403331,,2,Mechanical Systems 2
Applied Engineering Tech,ARCHDR 31403302,,5,Architectural Drawing
Applied Engineering Tech,ARCHDR 31403303,,5,Construction Drawing 1
School of Professional Develop,ANIMTOON 60201410,"""Inking"" is the art of drawing over pencil drawings with India ink. Students will have the opportunity to ink their own drawings as well as samples from other artists. They will use several different tools, including pen nibs, brushes and markers.",0.45,Comic Book Inking
Applied Engineering Tech,ARCHDR 31403304,,2,Cad Applications
Applied Engineering Tech,ARCHDR 31403308,"Units of instruction include zoning requirements, residential and commercial building codes, sanitary regulations, permit applications, building permits and inspection procedures. Contract documents and office practice are also discussed.",2,Codes And Regulations
Applied Engineering Tech,ARCHDR 31403317,,2,Building Construction 2
School of Professional Develop,ANIMTOON 60201409,"Aspiring cartoonists will work through the vital aspects of successful comic book penciling. Working from partial written scripts, students will learn to visually break down and pace story elements. Areas of emphasis will include page design, visual ""direction"", dramatic lighting and shadows, and creating convincing environments.",0.45,Comic Book Penciling
Applied Engineering Tech,ARCHDR 32403308,,2,Codes & Regulations
ANTHRO 20809287,This course satisfies LAT Req,"This course will explore the social, cultural, economic and political aspects of the emergence, development and spread of Islam as a world religion. It will focus on Islam in 7th century Arabia, how the religion changed in the time since the 7th century and as Islam moved out of Hijaz into Africa and Asia, and its historical and continuing encounters with the West.",3,Anthropology of Islamic Societies and Cultures
ANTHRO 20809279,This course satisfies LAT Req,"Provides a detailed survey of the archaeology of North America from the initial movement of peoples into North America to European contact. This course will focus on each defined archaeological culture areas in turn, including:  the Eastern Woodlands, Arctic, the Great Plains, Southwest, Plateau, Northwest Coast, and Central America. Students will also be provided with an understanding of basic archaeological theory and concepts as necessary to understand the intricacies of Pre-contact Native American cultures. This course will dispel modern stereotypes about Native North American cultures by providing details on Native American lifeways.",3,Introduction to the Archaeology of Native North America
ANTHRO 20809280,This course satisfies LAT Req,"Anthropology is the study of humans and their culture, which includes a survey of three major sub-disciplines of anthropology: physical anthropology, which explores human biology, evolution and the emergence of culture; archeology, which examines the physical evidence of past cultures; and cultural anthropology, which focuses on contemporary culture.",3,General Anthropology
ANTHRO 20809289,This course satisfies LAT Req,"World Regional Geography introduces students to the basic physical and cultural geographies of the world’s major regions (e.g., Central Asia, the Caribbean).  Emphasis is placed on exploring what makes each region environmentally and culturally distinct, on regional human-environment relationships and associated environmental issues, and on the historical and contemporary linkages between the world’s regions.",3,World Regional Geography
Social Science,This course satisfies LAT Req,This course focuses on exploring the range of modern human cultural diversity across the world. The class will examine the cultural practices and historical ties that constitute commonalities across cultures. Particular attention will be paid to the cultural complexity of modern urbanized societies such as that of the United States.,3,Cultural Anthropology & Human Diversity
ANTHRO 20809281,This course satisfies LAT Req,"Designed for students interested in the human past, the period of prehistory where few written records exist and most knowledge of the period comes via archaeological investigations. Organized in a historical and topical fashion, the course traces the evolution of human culture through time, focusing on the best known archaeological sites in Africa, Asia, Europe, North America and Mesoamerica. Emphasis on major changes in human and cultural evolution, such as hunting, abstract thought, domestication of plants and animals, social stratification, the development of writing, the rise of states and urbanization.",3,Archaeology & Prehistoric World
ANTHRO 20809288,This course satisfies LAT Req,"This course has been designed to give students a forum in which to explore the biological nature of the human species. Through this course, students will examine the current state of knowledge in anthropology regarding the genetic and biological diversity of the human species, the place of humanity in the primate and mammalian family trees, as well as of the evolution of the human line since its separation from that of apes.",3,Human Biology & Physical Anthropology
ANTHRO 20809285,This course satisfies LAT Req,"An anthropological course designed to explore and examine the place of magic and religion in human culture. Students will look closely and critically at ‘world religions’ (Buddhism, Islam, Christianity, etc.) with analytical exploration of smaller-scale religious and magical practices (shamanism, Wicca, new Age, Cargo Cults, etc.). The forms that magic and religion have taken in human cultures, both past and present, will be covered. Prerequisite: any college-level social science course.",3,"Anthropology of Myth, Magic, and Religion"
Social Science,This course satisfies LAT Req,"This course explores the ways that our societies, cultures and experiences have been transformed, in both positive and negative ways, by the political, technological and economic changes brought about by the collapse of the old colonial systems and the continuing growth of all pervasive capitalism, consumerism and militarism.",3,The Anthropology of Globalization & Multiculturalism
Accounting & Finance,ACCTG 10101113,"Procedures of accounting for partnerships and corporations.  Additional topics include fixed assets, current liabilities and payroll, long-term liabilities, investments, statement of cash flows, analysis of financial statements, and may include an introduction to cost accounting.",4,Accounting 2 - Principles
Accounting & Finance,ACCTG 10101118,"Emphasizes the managerial use of accounting reports, the problem-solving functions of accounting in relation to current planning and control, performance evaluation, long-range planning, budgets and cost-volume-profit relationships.",4,Management Accounting
Accounting & Finance,ACCTG 10101122,"Emphasizes analysis of financial statements. Generally accepted accounting principles are applied in the preparation, analysis and interpretation of financial statements. Particular emphasis is applied to valuation of current and long-term liabilities and stockholders’ equity, and earnings per share. Special topics included are deferred income taxes, long-term investments, and leases. Further consideration is applied to errors and their correction, and statements of cash flow. Comparison and analysis is also made between GAAP and international standards(IFRS).",4,Accounting 4-Intermediate
ANTHRO 20809292,This course satisfies LAT Req,"Examines the fascinating yet often thorny intersection of agrofood systems, the environment, politics, and society. Students will be exposed to case studies from both the past and present and from throughout the world.",3,"Agriculture, Food, and Society"
ANTHRO 20809802,This course satisfies LAT Req,"Allows a qualified Honors student to pursue a special concentration of study under the guidance of a faculty member. Requires completion of an Honors Project Contract. Credits 1 – 3. May be taken more than once. Prerequisite:  1) minimum of 12 credits at Madison College, a 3.5 or higher GPA, and a previous or concurrent course with Honors Instructor; or 2) High School GPA of 3.5 or higher, and permission of Honors Instructor.",3,Honors - Anthropology
Accounting & Finance,ACCTG 10101121,"This intermediate-level course builds on the material covered in the Accounting Principles-1 and -2 courses. It expands on earlier coverage of both the income statement and balance sheet. Revenue recognition concepts and methods are covered. Emphasis is also placed on each classification of asset. This emphasis includes in-depth coverage of cash, receivables and inventory. Coverage also includes operational asset acquisition, depreciation, and disposal. Present value concepts are studied and applied. Excel spreadsheet software is used in this course.",4,Accounting 3-Intermediate
Accounting & Finance,ACCTG 10101135,,3,Payroll Accounting - Tax
Accounting & Finance,ACCTG 10101111,"Introduction to the field of accounting. The accounting cycle of journalizing transactions, posting, adjusting and closing entries, as well as the preparation of accounting statements is emphasized for service industries and merchandising concerns. Details of accounting for cash and receivables are studied.  An introduction to a computerized accounting system is also included.",4,Accounting 1 - Principles
Accounting & Finance,ACCTG 10101106,"Surveys accounting principles and practices with an emphasis on interpretation, rather than preparation, of financial statements. Presents basic business terminology, cash basis and accrual basis accounting, ratio analysis, payroll, and budgeting. This class is not for students majoring in accounting.",3,Accounting Fundamentals
Accounting & Finance,ACCTG 10101125,"This course presents typical accounting methods and processes that are used for collecting information for effective decision making for both manufacturing and service environments. Areas emphasized include job order costing, process costing, standard costing, activity based costing, budgeting, cost allocations, cost-volume-profit analysis and capital investment analysis. Students will be required to prepare and analyze various management reports.",4,Cost Management
Accounting & Finance,ACCTG 10101137,"Provides practical experience developing and applying flexible solutions to accounting problems using Excel.  Spreadsheet tools that may be utilized include analysis formulas, cross-referencing and linking, lookup, statistical, date/time, database and financial functions; tables, pivot tables, dashboards, transferring Excel information into other programs, logical statements (IF); what-if tools, charting and macros.  Students will also benchmark ten-key data entry speed and improve this skill as needed.",2,Computerized Accounting Applications
Accounting & Finance,ACCTG 10101138,"A survey of accounting and payroll systems covering procedures and methods to capture data and report financial information. Specific topics include flowcharting, internal controls, and transaction work in both manual and computerized environments. Special emphasis is also placed on payroll calculations and the processing of payroll information. Lab intensive course involving hands-on experience with Excel spreadsheet software and accounting software.",3,Accounting And Payroll Systems
Accounting & Finance,ACCTG 10101142,"This course will provide students an opportunity to demonstrate their attainment of program outcomes through the completion of a project.  This project accounts for a small business through the accounting cycle, review of internal controls, and financial analysis.",3,Accounting Capstone
Accounting & Finance,ACCTG 10101153,"The objective of this course is to help students understand and visualize the accounting systems used by companies.  This is accomplished by using a manual practice set which has students performing all accounting functions for a small service company.  A manual accounting system is used, with the expectation that understanding the flows within a manual system will provide a strong foundation for understanding computerized systems.  Students will work with commonly used business documents.  Flowcharting and internal control procedures are also covered.",1,Systems-Accounting Cycle
Accounting & Finance,ACCTG 10101154,"This course introduces the student to the many aspects of payroll accounting, administration, and management.  The course is intended for accounting students, other business students and outside professionals who have a need or interest in understanding the laws and regulations, the calculations (including all payroll taxes), the government reporting and the accounting entries related to the payroll function.",1,Payroll Accounting
Accounting & Finance,ACCTG 10101141,"QuickBooks-Intermediate is the next course offering after QuickBooks-Beginning which provides student users with in-depth material on advanced topics.  Topics will include inventory; Sales Tax; Time Tracking; Payroll Setup and Processing; Estimates and Sales Orders; Budgeting, Forecasting & Business Planning; and Adjustments and Year-End Procedures.  A tutorial approach will be followed using a textbook and practice problem company files.",1,QuickBooks-Intermediate
Accounting & Finance,ACCTG 10101140,"Opportunity for students to apply accounting or business skills in a real life business environment.  Activities may include working with bank and account reconciliations, accounts payable preparation, spreadsheet work and development, preparing and analyzing financial reports, tax return preparation and other business related duties as requested by the employer.",3,Accounting/Business Internship
Accounting & Finance,ACCTG 10101139,"Introduction to QuickBooks-Beginning small business accounting software.  Students become familiar with QuickBooks features and learn to use the software to set up a new company, manage business revenue and expenses, process payroll, reconcile bank accounts, track inventory and create useful reports.  A tutorial approach will be followed using a textbook and practice problem templates.  Prerequisites:  ",1,QuickBooks-Beginning
Accounting & Finance,ACCTG 10101801,"Allows a qualified Honors student to pursue a special concentration of study under the guidance of a faculty member. Requires completion of an Honors Project Contract. Credits 1 – 3. May be taken more than once. Pre-requisite:  1) minimum of 12 credits at Madison College, a 3.5 or higher GPA, and a previous or concurrent course with Honors Instructor; or 2) High School GPA of 3.5 or higher, and permission of Honors Instructor.",3,Honors - Accounting
